Quantity of Comments,Likes,Hashtags,Post Location,Category
37,530,#Business #SocialMedia #DigitalMarketing,Bhopal,Business
82,275,#HomeDecor #DIY #HomeAppliances #InteriorDesign #SmartHome,Gulbarga,Home
136,286,#OOTD #FashionInspo #Clothing,Bikaner,Fashion
114,645,#SmartHome #HomeAppliances #DIY #InteriorDesign #HomeDecor,Tumkur,Home
184,310,#Wanderlust #Explore #TravelDiaries #Adventure #Travel,Bareilly,Travel
167,290,#Gaming #Esports #GamerLife,Gurgaon,Gaming
161,270,#Travel #Adventure #Wanderlust,Bathinda,Travel
129,655,#Electronics #AI #Tech #SmartHome,Jaipur,Technology
128,828,#Mindfulness #Wellness #Lifestyle #SelfCare #PersonalDevelopment,Ludhiana,Lifestyle
256,990,#Delicious #Foodie #Yummy,Aligarh,Food
26,235,#Trendy #OOTD #Fashionista #FashionInspo #Clothing,Agra,Fashion
131,856,#InstaArt #Design #PhotoOfTheDay,Nashik,Art
177,878,#Esports #Gaming #GameOn #GamerLife #VideoGames,Khandwa,Gaming
154,276,#Yoga #Motivation #FitnessGoals #HealthyLifestyle #Fitness,Srinagar,Fitness
78,901,#InstaArt #PhotoOfTheDay #Design #Art #Photography,Indore,Art
149,690,#HealthyLifestyle #Workout #Fitness #Motivation,Ludhiana,Fitness
183,345,#InteriorDesign #HomeAppliances #SmartHome #DIY #HomeDecor,Surat,Home
187,674,#Workout #HealthyLifestyle #FitnessGoals,Dhanbad,Fitness
215,448,#Motivation #Workout #HealthyLifestyle,Bikaner,Fitness
164,621,#PersonalDevelopment #Wellness #Lifestyle #Mindfulness,Pune,Lifestyle
137,89,#Photography #PhotoOfTheDay #InstaArt #Design #Art,Itanagar,Art
48,418,#GamerLife #Gaming #VideoGames #GameOn,Nagpur,Gaming
74,287,#Trendy #OOTD #Fashion,Ludhiana,Fashion
127,866,#Art #Design #PhotoOfTheDay #InstaArt #Photography,Rudrapur,Art
23,289,#Wellness #PersonalDevelopment #SelfCare #Mindfulness,Agra,Lifestyle
129,3,#Fitness #HealthyLifestyle #Motivation,Ludhiana,Fitness
172,524,#AI #Tech #Electronics,Shimoga,Technology
122,192,#SmartHome #Tech #AI #Innovation #Gadgets,Faridabad,Technology
34,221,#FashionInspo #Fashionista #Trendy #Style #Fashion,Panchkula,Fashion
206,541,#Wanderlust #Travel #TravelDiaries,Visakhapatnam,Travel
189,149,#Explore #Nature #TravelDiaries #Travel #Wanderlust,Jabalpur,Travel
101,411,#Delicious #Gourmet #Cooking #Yummy #Recipe,Visakhapatnam,Food
62,506,#Tech #MachineLearning #Innovation #Electronics #Gadgets,Sambalpur,Technology
164,121,#Entrepreneur #DigitalMarketing #Startup,Udaipur,Business
172,474,#TravelDiaries #Adventure #Nature,Aligarh,Travel
133,215,#Foodie #HealthyEating #Delicious #Yummy,Srinagar,Food
164,844,#Wellness #Mindfulness #PersonalDevelopment,Nashik,Lifestyle
26,512,#Workout #Yoga #FitnessGoals #Fitness #HealthyLifestyle,Bellary,Fitness
240,189,#Explore #Nature #Adventure #TravelDiaries #Wanderlust,Kalyani,Travel
199,343,#MachineLearning #Tech #Electronics,Gurgaon,Technology
226,331,#Adventure #Nature #Wanderlust #Travel,Aizawl,Travel
5,97,#PersonalDevelopment #Wellness #SelfCare,Noida,Lifestyle
176,371,#Workout #Yoga #Fitness,Kanpur,Fitness
115,345,#Startup #Entrepreneur #DigitalMarketing #SocialMedia #Business,Mohali,Business
259,111,#Adventure #Nature #TravelDiaries #Wanderlust #Travel,Dharwad,Travel
50,129,#Adventure #Explore #Nature #Travel,Nagpur,Travel
16,318,#GameOn #Gaming #Esports #VideoGames,Khandwa,Gaming
259,928,#PhotoOfTheDay #InstaArt #Design #Art #Photography,Udaipur,Art
107,679,#Art #InstaArt #PhotoOfTheDay,Moga,Art
282,945,#Nature #Wanderlust #Adventure,Khargone,Travel
32,471,#PersonalDevelopment #Wellness #Lifestyle #SelfCare #Mindfulness,Patna,Lifestyle
245,371,#Motivation #Yoga #Workout #Fitness,Bikaner,Fitness
72,664,#HomeDecor #DIY #HomeAppliances #SmartHome,Jaisalmer,Home
160,206,#GamerLife #Esports #Gaming #VideoGames #GameOn,Agra,Gaming
162,134,#SelfCare #Lifestyle #Mindfulness #Wellness,Satna,Lifestyle
83,746,#HomeAppliances #SmartHome #InteriorDesign #DIY,Ropar,Home
281,149,#Motivation #FitnessGoals #Fitness,Rudrapur,Fitness
190,194,#FashionInspo #OOTD #Clothing #Trendy #Fashion,Rampur,Fashion
40,964,#Mindfulness #Lifestyle #SelfCare #PersonalDevelopment,Gurgaon,Lifestyle
211,836,#Gourmet #Yummy #Cooking #Delicious #Recipe,Itanagar,Food
78,765,#Lifestyle #Mindfulness #SelfCare #PersonalDevelopment #Wellness,Jaipur,Lifestyle
215,1000,#Design #Photography #PhotoOfTheDay #InstaArt #Art,Jabalpur,Art
102,340,#Lifestyle #SelfCare #Wellness #Mindfulness,Vadodara,Lifestyle
14,438,#Photography #Design #InstaArt,Dhanbad,Art
199,58,#MachineLearning #Tech #Gadgets #Electronics #SmartHome,Bikaner,Technology
73,191,#Workout #Motivation #FitnessGoals #Yoga #HealthyLifestyle,Ambala,Fitness
99,942,#PhotoOfTheDay #Photography #Design #InstaArt,Panchkula,Art
223,297,#Fashion #Fashionista #FashionInspo #Trendy #Clothing,Udaipur,Fashion
12,362,#InteriorDesign #SmartHome #HomeAppliances,Hyderabad,Home
11,942,#Gaming #GameOn #Esports,Hoshiarpur,Gaming
237,710,#Design #Art #InstaArt #PhotoOfTheDay,Dhanbad,Art
193,45,#Electronics #Gadgets #Innovation #SmartHome,Hyderabad,Technology
149,728,#Fitness #HealthyLifestyle #FitnessGoals #Workout #Yoga,Coimbatore,Fitness
272,406,#Esports #Gaming #GameOn,Khandwa,Gaming
32,267,#GameOn #Esports #Gaming #VideoGames #GamerLife,Karnal,Gaming
138,867,#Gaming #GamerLife #GameOn #VideoGames #Esports,Dewas,Gaming
154,854,#TravelDiaries #Nature #Wanderlust #Travel,Jaipur,Travel
249,489,#Entrepreneur #DigitalMarketing #Business,Bikaner,Business
258,613,#FashionInspo #Fashionista #Style #Clothing,Agra,Fashion
40,242,#Wellness #Mindfulness #PersonalDevelopment,Sambalpur,Lifestyle
238,488,#Electronics #Tech #MachineLearning,Sambalpur,Technology
55,0,#FitnessGoals #Fitness #Workout,Madurai,Fitness
209,157,#Gaming #GamerLife #Esports,Madurai,Gaming
106,914,#HealthyEating #Cooking #Delicious,Kochi,Food
29,90,#SelfCare #Wellness #PersonalDevelopment,Hapur,Lifestyle
146,978,#Fitness #Workout #Yoga,Thiruvananthapuram,Fitness
14,311,#GamerLife #GameOn #Gaming,Ludhiana,Gaming
22,79,#PersonalDevelopment #Mindfulness #SelfCare #Lifestyle #Wellness,Kota,Lifestyle
283,676,#Recipe #Yummy #Foodie,Bellary,Food
165,728,#Esports #GamerLife #GameOn #VideoGames #Gaming,Sikar,Gaming
200,547,#VideoGames #GameOn #GamerLife #Gaming,Bhubaneswar,Gaming
6,194,#Foodie #Cooking #Gourmet,Nawanshahr,Food
192,67,#DigitalMarketing #Business #Startup #SocialMedia #Entrepreneur,Kolkata,Business
162,487,#DIY #InteriorDesign #SmartHome,Jammu,Home
